玄天劫 v7.0 · 平衡曲线探针（含密度/尸潮/连锁）（纯数值推演，非实测）
生成时间 2026-09-19T09:17:14.893Z

== 1) 怪物血量/攻击随波次放大（公式：HP=base*(1+0.18w)*(1+0.02*w^1.25)） ==
波次  小妖HP  精英HP   妖王HP   妖王ATK  HP倍数
  1      34     337     1685      36  1.20x
  5      61     612     3058      51  2.18x
 10     106    1063     5314      70  3.80x
 15     165    1648     8238      90  5.88x
 20     238    2378    11888     109  8.49x
 25     326    3262    16309     128  11.65x
 30     431    4308    21542     147  15.39x
 35     552    5524    27621     166  19.73x
 40     692    6915    34577     186  24.70x

== 2) 升级所需累计击杀（每只怪经验固定不随波次涨） ==
等级  本级需求  累计经验  按 8xp/只折算击杀
  5        38       102          13
 10        88       376          47
 15       202      1007         126
 20       464      2456         307
 25      1062      5775         722
 30      2430     13372        1672
 35      5559     30755        3844
 40     12718     70525        8816

== 3) 场景：保守（只有紫装，纯度不满） ==
波次 等级 累计击杀 玩家攻击 单击伤害 玩家HP  小妖HP  妖王HP  砍小妖刀数 砍妖王刀数 妖王ATK 能挨几下
  1    5       23       16       18     141      34     1685        1.8       91.4      36      3.9
  5   15      133       51       59     374      61     3058          1       52.1      51      7.3
 10   21      383       69       79     600     106     5314        1.3         67      70      8.5
 15   25      695    108.1      146     881     165     8238        1.1       56.5      90      9.8
 20   28      975    124.6      168    1115     238    11888        1.4       70.7     109     10.2
 25   30     1405    137.7      186    1307     326    16309        1.8       87.7     128     10.2
 30   33     1923    191.4      258    1726     431    21542        1.7       83.4     147     11.7
 35   35     2433    210.3      284    2023     552    27621        1.9       97.3     166     12.2
 40   36     3039    220.8      298    2191     692    34577        2.3        116     186     11.8

== 3) 场景：正常（3 紫 + 纯度 100% + 1 联动） ==
波次 等级 累计击杀 玩家攻击 单击伤害 玩家HP  小妖HP  妖王HP  砍小妖刀数 砍妖王刀数 妖王ATK 能挨几下
  1    6       23     17.2       21     154      34     1685        1.6       81.5      36      4.3
  5   16      133     60.5       73     424      61     3058        0.8       42.1      51      8.3
 10   23      383     83.9      101     726     106     5314        1.1       52.8      70     10.3
 15   27      695    138.7      222    1070     165     8238        0.7       37.1      90     11.9
 20   29      975    150.9      241    1247     238    11888          1       49.2     109     11.5
 25   32     1405    207.9      395    1646     326    16309        0.8       41.3     128     12.9
 30   34     1923    225.5      428    1918     431    21542          1       50.3     147       13
 35   36     2433    280.8      534    2321     552    27621          1       51.8     166       14
 40   38     3039    304.3      578    2705     692    34577        1.2       59.8     186     14.6

== 3) 场景：毕业（橙装 + 2 核心 + 多联动） ==
波次 等级 累计击杀 玩家攻击 单击伤害 玩家HP  小妖HP  妖王HP  砍小妖刀数 砍妖王刀数 妖王ATK 能挨几下
  1    7       23     18.5       24     168      34     1685        1.4         70      36      4.7
  5   18      133       76       99     523      61     3058        0.6       30.9      51     10.2
 10   24      383     98.3      128     816     106     5314        0.8       41.6      70     11.6
 15   28      695    174.6      332    1225     165     8238        0.5       24.8      90     13.7
 20   31      975    195.1      371    1527     238    11888        0.6       32.1     109       14
 25   33     1405    271.4      679    1896     326    16309        0.5         24     128     14.8
 30   36     1923    300.8      752    2361     431    21542        0.6       28.6     147       16
 35   38     2433    384.3      961    2875     552    27621        0.6       28.7     166     17.3
 40   39     3039    397.4      993    3094     692    34577        0.7       34.8     186     16.7
